"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Ratchaburi",48.1743800536604,46.0302984296087,38.696692219058,38.4475771014896,38.2879573833836,28.7361425394283,24.859960539556,28.7006028294196,24.7247650551676,38.0324281162234,38.4955311332687,40.6793796623687,39.5246792062683,42.0952235655405,41.3017621745365,40.2107108746723,39.1983208871475,39.3473859357601,39.7630920055209,39.3396158825922,34.9008063007242,34.227507704222,37.4962963342365,37.0360527205363,50.751844406196,47.2837436835631
"Rayong",39.7015151862822,38.6723433466465,38.2215455776208,38.3730656289547,37.6731899132438,31.890942407071,29.1244740032003,39.4115977197423,39.6578246840523,32.5599753311552,32.6097343620658,36.0133203539227,36.6159701108481,40.2694999956697,38.6003259612009,37.6384997843076,38.8599871481982,39.1042886699917,40.2776211011293,38.4914156968388,34.2861781763468,34.5628529573561,33.3986147527779,32.8959331545341,52.3534302714268,48.43434261128
"Roi Et",49.8769603713067,47.6522654840147,42.3804904962492,41.2464245071708,41.9285841952608,35.1556273202882,34.6848708112672,33.6410415192903,31.7645707627921,43.372255579968,42.3397969323286,36.8231664580121,35.1745796704829,39.3193032865852,39.3079727999746,39.3491468785053,38.2170323213067,37.7991304809235,38.7000907960144,36.8767438185532,40.8942906407704,39.7885190235378,34.1562532373886,33.8987370948046,41.8680195893948,43.8223704007715
"Sakon Nakhon",60.7286681113658,50.1330695283703,40.2903463418327,37.8634597589926,36.4212210164472,34.6850701349153,32.7692453078887,34.2567332291055,32.9524435716931,38.8853618963905,38.2021061396002,37.2756310247076,37.6274383319317,33.8359210753384,34.1744843648178,31.3529362166626,38.1927615548513,33.8167131159598,42.6806138469508,35.8158525801381,34.4112064441809,33.1742876620038,34.1046854997514,34.9920347008614,39.5400113865451,36.7465233951284
"Samut Prakan",38.0480088222012,36.9246800343592,35.5878017882083,35.57103001414,34.9972168565267,27.7236380991978,23.621101311068,31.84159582556,29.9012354287828,35.1932028442616,34.0682026237936,42.5086813266631,40.028206755218,36.7653112529051,35.2332520990809,35.4233766632834,46.782519716549,45.6352526341576,43.6661418316869,42.0582499178619,31.8316872584824,29.739536452541,34.621587915714,33.1243308894356,56.4342261172349,50.0106951471137
"Samut Sakhon",40.2814621720618,40.0041232286408,32.7544212126633,31.9935137714284,31.1318691259058,28.5442890223676,25.5053761394647,29.3194724085734,26.4151018327485,34.5201767234911,31.2458614793867,40.1879328271336,38.7431165593931,36.1781498947163,38.4116875441354,35.4529742194498,43.3269770300823,40.5026770345794,38.8421569514376,38.1447319194491,34.2638687777138,33.4130772101757,36.883040775856,36.6097409033502,50.7312521007517,48.346593077253
"Samut Songkhram",40.8691055979603,40.4390077013932,37.2831973370592,36.9908903270763,36.2469562421994,28.9049804756955,25.6118064949927,30.1702582401443,26.6833607040541,41.7585727150114,41.790663312446,32.2199472924448,30.7386581172261,43.8225804947946,38.3761758573185,40.0553966886381,42.2153597129548,40.3389344506021,38.1728730269614,37.5897023372058,35.40008368493,33.8780389822288,38.3348050799933,38.0570447501009,52.9487622923285,50.6761998082928
"Saraburi",46.4977362006661,44.1656936451423,36.4351645508094,35.9370086615505,36.0323170845551,29.3326873951235,25.5970214424022,29.330249098697,25.6521423435407,36.727661746948,35.6864722373795,36.9998322969747,35.994217608157,40.0088398954371,39.5536654843663,36.4034330192649,39.0249111542443,36.7414238181201,42.2532818039112,40.7819224944627,33.3206322317992,31.4014293132849,36.2233925917745,35.051744872294,64.0266057411366,56.6622363948578
"Satun",35.0958249145131,30.4214017772215,39.3922317616339,33.6465764380742,31.0514629311513,39.2024452595508,33.8518443407443,43.5152079091313,38.3870779703311,35.486703062408,31.8688402539624,37.1046092221306,33.0563761142501,41.908592064489,38.0572430089228,37.3990132772525,38.4934562133775,31.2487719051054,42.5489379611733,37.5037586968829,36.7612997629545,36.9472238757509,35.4945660097405,33.8213361460108,45.3749422617565,41.5774972767872
"Sing Buri",38.4827739965878,37.3013906049663,43.0549528212691,43.8502070014929,41.5660474524949,31.3803789990067,30.6551797018365,30.7753546946933,30.5851508075089,32.3300545756818,33.550704083175,45.1360581408072,43.1706290514808,39.9546663861308,38.2163856233623,39.6977204061059,35.4475316473766,33.5866921619188,35.0686984306662,33.6282194914169,36.8233431689731,34.2991444686238,41.22405341886,38.7911344330406,46.6242895983226,45.7151020701191
