"","1980-Jan","1980-Feb","1980-Mar","1980-Apr","1980-May","1980-Jun","1980-Jul","1980-Aug","1980-Sep","1980-Oct","1980-Nov","1980-Dec","1981-Jan","1981-Feb","1981-Mar","1981-Apr","1981-May","1981-Jun","1981-Jul","1981-Aug","1981-Sep","1981-Oct","1981-Nov","1981-Dec","1982-Jan","1982-Feb","1982-Mar","1982-Apr","1982-May","1982-Jun","1982-Jul","1982-Aug","1982-Sep","1982-Oct","1982-Nov","1982-Dec","1983-Jan","1983-Feb","1983-Mar","1983-Apr","1983-May","1983-Jun","1983-Jul","1983-Aug","1983-Sep","1983-Oct","1983-Nov","1983-Dec","1984-Jan","1984-Feb","1984-Mar","1984-Apr","1984-May","1984-Jun","1984-Jul","1984-Aug","1984-Sep","1984-Oct","1984-Nov","1984-Dec","1985-Jan","1985-Feb","1985-Mar","1985-Apr","1985-May","1985-Jun","1985-Jul","1985-Aug","1985-Sep","1985-Oct","1985-Nov","1985-Dec","1986-Jan","1986-Feb","1986-Mar","1986-Apr","1986-May","1986-Jun","1986-Jul","1986-Aug","1986-Sep","1986-Oct","1986-Nov","1986-Dec","1987-Jan","1987-Feb","1987-Mar","1987-Apr","1987-May","1987-Jun","1987-Jul","1987-Aug","1987-Sep","1987-Oct","1987-Nov","1987-Dec","1988-Jan","1988-Feb","1988-Mar","1988-Apr","1988-May","1988-Jun","1988-Jul","1988-Aug","1988-Sep","1988-Oct","1988-Nov","1988-Dec","1989-Jan","1989-Feb","1989-Mar","1989-Apr","1989-May","1989-Jun","1989-Jul","1989-Aug","1989-Sep","1989-Oct","1989-Nov","1989-Dec","1990-Jan","1990-Feb","1990-Mar","1990-Apr","1990-May","1990-Jun","1990-Jul","1990-Aug","1990-Sep","1990-Oct","1990-Nov","1990-Dec","1991-Jan","1991-Feb","1991-Mar","1991-Apr","1991-May","1991-Jun","1991-Jul","1991-Aug","1991-Sep","1991-Oct","1991-Nov","1991-Dec","1992-Jan","1992-Feb","1992-Mar","1992-Apr","1992-May","1992-Jun","1992-Jul","1992-Aug","1992-Sep","1992-Oct","1992-Nov","1992-Dec","1993-Jan","1993-Feb","1993-Mar","1993-Apr","1993-May","1993-Jun","1993-Jul","1993-Aug","1993-Sep","1993-Oct","1993-Nov","1993-Dec","1994-Jan","1994-Feb","1994-Mar","1994-Apr","1994-May","1994-Jun","1994-Jul","1994-Aug","1994-Sep","1994-Oct","1994-Nov","1994-Dec","1995-Jan","1995-Feb","1995-Mar","1995-Apr","1995-May","1995-Jun","1995-Jul","1995-Aug","1995-Sep","1995-Oct","1995-Nov","1995-Dec","1996-Jan","1996-Feb","1996-Mar","1996-Apr","1996-May","1996-Jun","1996-Jul","1996-Aug","1996-Sep","1996-Oct","1996-Nov","1996-Dec","1997-Jan","1997-Feb","1997-Mar","1997-Apr","1997-May","1997-Jun","1997-Jul","1997-Aug","1997-Sep","1997-Oct","1997-Nov","1997-Dec","1998-Jan","1998-Feb","1998-Mar","1998-Apr","1998-May","1998-Jun","1998-Jul","1998-Aug","1998-Sep","1998-Oct","1998-Nov","1998-Dec","1999-Jan","1999-Feb","1999-Mar","1999-Apr","1999-May","1999-Jun","1999-Jul","1999-Aug","1999-Sep","1999-Oct","1999-Nov","1999-Dec","2000-Jan","2000-Feb","2000-Mar","2000-Apr","2000-May","2000-Jun","2000-Jul","2000-Aug","2000-Sep","2000-Oct","2000-Nov","2000-Dec","2001-Jan","2001-Feb","2001-Mar","2001-Apr","2001-May","2001-Jun","2001-Jul","2001-Aug","2001-Sep","2001-Oct","2001-Nov","2001-Dec","2002-Jan","2002-Feb","2002-Mar","2002-Apr","2002-May","2002-Jun","2002-Jul","2002-Aug","2002-Sep","2002-Oct","2002-Nov","2002-Dec","2003-Jan","2003-Feb","2003-Mar","2003-Apr","2003-May","2003-Jun","2003-Jul","2003-Aug","2003-Sep","2003-Oct","2003-Nov","2003-Dec","2004-Jan","2004-Feb","2004-Mar","2004-Apr","2004-May","2004-Jun","2004-Jul","2004-Aug","2004-Sep","2004-Oct","2004-Nov","2004-Dec","2005-Jan","2005-Feb","2005-Mar","2005-Apr","2005-May","2005-Jun","2005-Jul","2005-Aug","2005-Sep","2005-Oct","2005-Nov","2005-Dec","2006-Jan","2006-Feb","2006-Mar","2006-Apr","2006-May","2006-Jun","2006-Jul","2006-Aug","2006-Sep","2006-Oct","2006-Nov","2006-Dec","2007-Jan","2007-Feb","2007-Mar","2007-Apr","2007-May","2007-Jun","2007-Jul","2007-Aug","2007-Sep","2007-Oct","2007-Nov","2007-Dec","2008-Jan","2008-Feb","2008-Mar","2008-Apr","2008-May","2008-Jun","2008-Jul","2008-Aug","2008-Sep","2008-Oct","2008-Nov","2008-Dec","2009-Jan","2009-Feb","2009-Mar","2009-Apr","2009-May","2009-Jun","2009-Jul","2009-Aug","2009-Sep","2009-Oct","2009-Nov","2009-Dec","2010-Jan","2010-Feb","2010-Mar","2010-Apr","2010-May","2010-Jun","2010-Jul","2010-Aug","2010-Sep","2010-Oct","2010-Nov","2010-Dec","2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec"
"Songkhla",6,7,3,7,2,5,8,11,19,8,26,29,57,26,28,16,8,17,10,11,16,18,15,8,8,12,22,25,12,12,15,19,32,32,43,14,34,39,41,25,5,9,9,25,57,54,48,35,58,34,38,38,16,30,50,38,45,45,44,22,30,7,18,12,2,16,10,12,10,14,20,24,65,51,52,25,19,33,40,72,58,31,43,23,22,24,11,12,10,19,17,18,8,10,17,10,13,15,23,14,11,10,29,73,87,124,126,144,118,91,86,41,13,25,5,20,9,9,1,17,16,23,15,18,9,9,11,28,28,21,17,14,17,19,16,16,6,49,16,10,12,28,16,12,1,3,9,3,2,4,10,7,12,13,22,10,24,39,39,30,13,30,31,63,50,45,30,42,63,34,54,18,15,26,27,32,35,25,32,20,29,27,22,5,12,15,8,22,28,24,17,9,13,4,5,8,2,12,12,6,4,7,3,3,6,6,11,8,9,9,4,14,4,2,0,0,20,32,65,18,3,3,0,0,6,1,4,3,5,0,4,6,7,5,3,7,4,4,0,2,7,9,5,2,5,6,16,22,60,69,61,43,35,24,67,41,23,34,21,10,11,23,7,4,19,39,35,22,16,4,24,16,11,14,9,1,3,10,3,6,5,5,0,6,2,3,3,1,6,4,7,11,13,10,35,25,20,21,13,9,6,4,4,5,9,1,4,3,4,3,4,1,1,6,3,1,7,6,10,5,7,0,9,1,0,6,3,4,6,12,3,3,4,5,2,2,6,1,4,6,6,4,7,6,6,2,6,3,7,3,4,4,3,5,2,2,3,0,2,2,0,3,2,1,2,3,1,7,4,3,0,0,5,4,6,6,2,4,2,2,1,3,1,2,3,8,3,3,2,1,3,3,3,0,0,8,2,2,3,0,1,5,6,5,3,0,1,0,0,1,1,0,2,1,2,1,0,2,0,2,3,1,3,1,0,3,5,1,2,1,0,3
"Sukhothai",10,38,110,73,41,28,18,21,14,9,17,19,17,26,53,48,23,47,52,77,87,31,26,34,93,103,114,73,26,28,31,19,15,10,6,2,30,53,33,21,6,8,9,19,14,14,9,8,13,49,72,73,59,140,161,112,99,91,100,70,67,48,59,44,12,25,24,11,8,5,6,7,8,10,5,3,6,22,25,14,20,9,6,12,1,10,17,7,10,18,35,26,15,19,22,24,82,59,146,78,26,16,33,20,16,15,28,30,27,18,23,28,6,7,6,2,4,10,18,17,11,15,28,21,7,21,29,52,41,83,72,105,51,48,85,40,21,30,20,14,10,12,4,5,13,17,14,8,6,2,2,3,4,3,1,2,4,8,27,7,4,4,4,11,13,19,24,48,116,114,108,67,22,17,16,40,29,9,6,10,9,9,14,8,6,6,9,5,1,2,3,1,2,3,2,2,0,2,3,3,2,1,3,12,1,8,19,3,5,12,13,25,18,20,45,54,81,116,88,23,6,6,4,2,3,2,3,1,8,2,10,1,2,2,0,1,2,1,2,1,5,2,4,3,3,3,0,2,0,2,0,1,6,3,3,7,4,4,7,4,5,2,3,3,2,4,2,0,8,10,6,6,2,0,1,2,1,2,3,2,4,2,3,2,4,2,5,10,42,27,21,4,4,1,3,4,2,2,2,0,3,2,6,1,5,1,5,7,2,2,2,1,4,1,10,15,2,0,3,4,2,3,2,1,1,1,1,1,3,1,5,2,2,1,2,0,4,0,5,4,1,4,1,2,0,2,0,0,4,3,3,4,1,2,0,1,2,0,0,2,1,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,3,2,2,2,0,0,0,0,0,1,0,2,1,1,0,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0
"Suphan Buri",33,45,92,35,10,13,17,6,10,6,2,2,6,8,30,14,9,19,21,36,37,54,27,50,103,109,92,41,22,11,16,3,17,14,15,2,6,13,21,12,9,6,16,27,36,25,24,24,94,132,80,66,44,32,46,48,45,58,69,53,64,97,86,54,33,42,47,42,30,45,29,21,25,52,39,25,20,6,19,12,18,14,19,20,44,36,67,42,16,26,63,65,57,88,105,78,81,94,88,63,15,13,19,9,7,4,9,7,21,14,13,10,5,5,4,9,9,5,23,15,62,131,131,35,21,32,24,30,24,60,62,56,91,96,131,40,15,29,21,13,13,14,19,13,13,2,13,8,5,4,1,6,3,5,1,11,25,33,61,16,4,5,3,5,4,6,7,11,92,150,150,75,26,32,15,17,14,12,8,6,15,9,8,16,4,2,3,7,3,6,4,4,7,5,8,5,2,4,3,3,5,1,4,3,3,6,8,7,5,2,4,9,16,24,38,82,231,227,209,65,14,6,6,0,4,0,1,0,1,2,4,4,5,4,0,4,4,7,4,0,2,6,8,7,2,32,64,65,20,15,8,7,5,5,9,6,1,7,3,5,6,6,5,2,4,3,9,5,5,3,2,3,3,5,0,1,2,6,5,3,4,5,5,1,6,7,3,3,7,11,10,4,6,9,3,4,0,3,4,1,3,4,4,5,6,2,1,1,2,6,5,4,3,9,15,3,2,3,5,5,2,2,11,0,3,2,1,6,4,3,2,2,0,2,3,3,0,0,1,1,1,6,9,6,6,8,5,9,4,5,8,7,3,3,0,0,1,2,0,0,2,2,2,0,1,3,2,3,2,2,1,2,1,1,1,1,2,4,0,1,2,2,1,1,4,10,9,0,1,2,0,3,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0
"Surat Thani",2,7,11,6,4,9,12,35,26,25,20,16,13,19,13,4,12,0,8,1,1,10,5,15,18,5,28,9,23,11,36,31,56,53,37,26,33,19,28,27,11,38,28,38,59,90,71,47,58,46,33,23,14,7,12,16,20,14,5,12,19,13,18,23,13,45,78,62,73,51,66,72,54,41,28,21,2,7,5,9,11,12,14,14,10,23,30,20,25,65,76,72,105,125,160,75,84,70,54,30,20,13,8,9,13,11,6,9,9,5,16,11,16,10,28,26,23,26,10,16,9,11,20,13,12,25,21,73,78,154,81,71,94,71,59,37,30,56,53,34,43,38,26,7,0,10,11,8,3,4,5,9,3,6,8,8,5,29,50,27,13,29,35,30,25,57,40,34,31,32,41,21,12,12,27,25,35,37,37,28,45,58,76,35,7,19,15,60,30,14,11,10,13,4,11,9,10,7,11,13,7,2,2,4,6,2,11,8,4,4,6,6,7,8,11,0,3,8,4,4,4,7,6,7,5,5,3,1,5,8,8,13,2,5,4,8,8,1,3,2,3,2,26,16,4,8,3,5,1,4,4,2,13,36,87,78,19,42,32,73,59,46,30,13,36,55,24,22,7,9,6,3,6,5,3,5,5,3,2,1,4,6,10,8,2,4,1,1,1,6,11,6,4,10,3,11,2,7,7,1,6,4,5,5,1,8,2,1,1,1,3,0,5,10,4,6,5,1,4,3,1,0,0,4,2,2,7,6,9,7,4,3,6,2,7,0,3,5,6,2,7,3,8,2,7,5,14,7,8,1,1,7,10,3,3,2,4,1,0,0,0,0,2,0,1,1,0,2,3,1,1,1,3,0,3,4,3,1,0,1,2,1,4,3,3,9,8,3,7,4,4,7,1,3,4,2,2,5,5,1,4,6,6,1,9,8,4,3,8,18,10,10,12,9,6,1,6,2,0,0,2,0,1,1,1,1,0,1,2,0,0,3
"Surin",45,106,91,43,34,20,20,11,13,11,3,10,4,2,26,42,24,13,14,27,19,8,6,1,9,32,46,31,31,67,42,58,24,30,18,29,40,57,61,48,54,38,46,36,30,28,41,33,48,72,78,89,40,61,66,64,76,45,52,47,25,48,43,48,37,26,35,28,18,17,28,24,31,21,33,25,25,12,20,12,14,31,46,48,77,56,50,46,39,73,69,72,72,67,60,35,62,91,95,61,37,77,42,33,22,8,7,9,23,25,13,12,4,5,15,11,11,9,8,17,13,38,51,38,44,68,72,79,97,76,46,36,53,74,109,51,41,50,44,15,17,14,11,9,7,11,20,12,5,5,7,7,4,8,5,4,5,5,13,8,12,26,33,27,38,68,77,42,58,124,114,64,42,79,76,56,35,23,11,5,4,13,21,6,5,15,21,4,2,1,2,0,10,8,10,8,22,29,28,59,32,40,34,23,131,123,106,36,29,29,41,42,17,47,22,13,29,27,24,15,8,8,4,4,6,6,4,2,2,8,7,4,3,11,9,6,4,5,1,1,6,5,3,0,2,1,2,1,1,4,0,1,0,1,5,4,0,4,9,4,9,14,31,13,80,88,120,69,33,75,63,49,27,32,9,3,16,13,27,16,5,8,6,5,5,13,1,0,14,11,7,13,9,7,4,6,4,5,3,1,2,8,4,1,11,8,8,6,4,2,1,0,8,7,9,7,4,8,3,2,2,4,0,3,2,3,6,9,6,10,3,3,0,2,1,0,2,3,5,4,4,3,1,4,3,7,3,2,10,5,20,7,12,24,8,3,5,4,2,2,4,3,3,7,4,4,8,8,7,3,1,5,2,4,1,1,8,7,6,5,4,3,4,3,6,12,8,6,5,9,6,8,9,4,5,3,6,16,7,3,8,2,8,8,4,4,0,0,1,4,2,3,1,1,0,0,1,1,1,1,0,3,0,4,2,4,1,4,3,1,2,1
"Tak",13,20,54,17,8,11,11,8,5,1,0,2,8,15,8,17,9,4,14,2,2,0,4,3,6,3,5,5,9,4,17,37,9,11,13,23,48,49,53,60,60,72,63,65,81,107,36,27,31,33,11,27,19,37,47,15,26,21,22,19,30,55,51,27,15,17,49,27,23,21,26,15,14,15,28,22,14,41,27,9,8,10,13,10,6,30,40,29,17,28,28,11,17,21,32,37,90,144,173,73,22,48,37,10,7,4,5,4,7,7,5,6,9,5,6,5,1,5,9,25,21,25,68,35,37,38,59,15,14,12,7,7,8,18,18,17,4,6,11,5,7,2,0,0,10,18,20,2,9,12,11,16,9,2,4,8,29,19,21,13,18,24,17,18,4,8,21,27,64,72,57,15,30,22,78,23,11,7,15,5,14,15,17,16,9,8,4,2,3,2,1,1,4,10,12,9,12,13,12,11,2,9,9,9,9,14,21,6,3,7,6,8,10,1,4,2,9,14,22,19,25,14,15,16,4,5,3,2,8,4,5,6,1,1,4,1,1,3,1,1,1,0,3,4,3,6,2,4,2,7,5,7,10,9,12,8,6,11,43,28,16,20,3,4,18,14,21,5,3,5,4,3,1,3,1,1,3,3,2,4,2,3,2,2,3,4,7,4,1,1,7,4,6,17,11,12,8,3,0,5,1,16,35,13,10,3,0,2,9,2,2,2,19,14,11,4,0,3,2,0,0,2,2,0,4,0,7,9,3,11,24,14,5,9,4,0,13,17,12,15,5,8,5,2,1,2,11,11,1,12,11,3,12,9,24,52,56,45,30,22,30,15,8,4,5,3,5,15,6,7,6,5,3,2,4,0,2,1,2,2,2,1,4,16,5,2,11,1,5,4,5,3,2,3,1,2,2,4,4,7,1,0,2,3,2,4,3,3,1,0,0,1,2,0,1,3,0,2,0,0,0,0,0,0,1,1,1,1,0,1,1,0
"Trang",4,0,3,1,4,3,1,3,0,0,2,1,4,8,1,0,0,0,0,0,0,6,6,3,6,6,0,17,11,15,5,6,3,1,1,5,11,7,4,2,11,6,16,28,25,27,14,19,18,3,1,6,4,0,0,1,0,3,6,0,3,6,6,8,5,16,6,13,12,14,26,39,59,58,18,16,7,5,5,19,4,2,2,3,7,4,9,17,11,23,38,99,71,59,57,44,26,19,10,5,1,19,21,8,5,6,4,6,1,1,0,9,7,7,15,14,38,31,23,12,7,5,8,4,6,16,23,32,44,74,112,130,80,40,38,3,8,10,5,6,11,3,4,1,6,5,1,2,5,6,5,10,3,7,10,21,51,38,46,16,39,32,23,19,31,32,34,19,19,11,11,3,4,4,9,6,4,6,4,6,7,13,18,12,15,12,31,65,145,192,80,67,62,29,26,13,8,5,7,4,2,3,2,2,6,7,6,7,2,0,1,4,5,7,4,0,6,2,3,2,0,3,2,6,5,6,1,1,3,1,3,3,2,10,9,1,7,3,0,1,1,3,1,7,1,3,2,3,0,1,0,4,2,1,2,3,2,1,3,1,4,1,1,1,1,5,5,1,0,1,4,2,1,0,3,1,1,0,0,0,1,0,0,1,0,3,1,0,1,0,5,9,5,3,1,0,2,1,5,1,5,5,3,0,1,2,5,7,6,4,0,1,2,1,4,2,1,2,3,2,2,2,5,0,3,2,2,1,5,0,3,3,0,0,1,1,0,1,2,0,3,9,4,4,1,5,3,2,1,0,2,4,2,2,1,1,1,0,0,0,2,0,1,0,2,0,3,2,0,2,0,1,0,1,1,5,1,2,2,0,3,1,2,0,1,1,4,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Trat",12,7,6,11,7,30,24,31,18,12,19,2,0,4,12,9,6,2,1,3,3,3,1,0,4,9,18,16,41,48,72,77,52,34,29,29,16,20,22,20,7,14,11,25,19,15,12,18,18,20,13,10,6,4,12,12,13,11,7,3,5,4,6,6,3,11,15,14,3,2,4,3,4,4,6,6,10,6,3,4,3,3,3,0,8,15,17,12,21,26,15,54,90,113,114,51,80,47,28,24,4,7,2,6,7,5,4,0,5,11,13,6,2,5,4,0,1,0,1,1,10,8,16,10,13,12,12,21,29,20,22,17,14,15,18,11,6,5,10,9,5,1,5,6,6,11,8,3,4,2,3,2,2,3,4,1,5,14,19,9,6,8,15,11,14,22,29,17,58,54,72,40,19,18,5,5,5,0,1,1,6,2,6,10,7,3,2,6,5,9,4,14,8,8,4,3,4,16,10,41,62,77,22,20,3,8,10,8,8,3,3,8,6,9,11,2,2,8,3,4,4,6,7,2,1,0,4,1,0,0,7,5,2,2,2,2,1,2,1,1,3,2,0,0,0,1,4,1,5,3,1,0,1,8,3,6,1,0,0,8,6,3,1,3,1,1,1,4,0,4,4,0,2,0,1,0,0,1,3,1,4,2,2,1,1,2,1,0,0,2,1,0,2,1,1,3,1,1,0,0,2,26,7,6,7,3,0,1,1,0,4,0,1,1,0,1,1,1,0,0,0,2,0,2,0,0,1,1,0,3,1,0,0,0,1,0,2,0,2,1,3,1,0,2,2,4,1,1,1,0,2,2,3,0,0,2,2,0,0,1,2,1,2,2,1,4,5,3,6,1,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ubon Ratchathani",45,55,71,56,50,51,38,23,29,12,10,7,5,22,45,30,43,42,29,17,7,14,20,9,24,54,77,73,38,42,23,20,17,23,19,14,22,44,115,79,55,56,40,32,35,45,32,30,30,77,107,107,97,100,70,50,47,43,30,17,43,19,41,64,62,94,94,58,51,55,42,11,25,29,47,41,24,63,60,36,33,20,10,13,14,24,43,51,52,93,235,132,130,110,125,104,159,179,284,164,99,128,68,23,9,11,13,7,15,18,28,14,5,19,9,6,7,8,8,5,11,18,68,67,57,93,64,43,47,42,28,10,26,34,42,43,37,80,89,47,24,8,11,7,13,34,63,24,27,50,41,13,15,13,16,14,21,45,41,26,37,74,71,50,38,64,60,36,56,52,89,62,37,43,42,19,6,7,6,7,8,16,28,17,3,8,14,12,8,8,0,0,4,25,25,6,12,19,15,24,4,2,16,11,24,23,25,16,8,23,29,11,23,13,14,2,37,30,28,12,14,12,14,9,3,3,3,0,1,0,4,2,5,6,5,4,1,6,3,1,7,7,5,9,6,4,3,1,3,0,0,1,2,2,4,3,1,4,6,4,6,9,1,5,2,12,24,11,5,13,25,52,21,8,2,4,4,10,14,5,7,11,5,5,6,0,5,1,6,13,23,19,7,11,28,13,14,10,6,3,4,9,2,7,7,10,8,10,1,6,3,4,7,3,5,6,5,9,32,28,14,22,8,4,11,7,4,3,10,13,10,10,3,2,2,3,1,1,6,4,1,1,5,3,3,5,7,5,5,7,1,3,7,4,2,8,5,1,1,6,2,4,12,9,8,12,8,10,10,6,1,4,2,6,2,2,2,3,3,2,4,3,1,1,2,11,3,1,4,0,3,0,3,2,2,0,3,1,1,2,3,6,3,3,5,0,1,0,3,1,1,1,1,2,1,4,4,2,0,2,0,3,2,0,1,1,7,1,1,3,1,1
"Udon Thani",33,66,113,44,33,12,18,9,10,13,11,12,21,27,30,23,13,44,22,6,8,10,3,3,25,45,91,59,57,47,36,24,12,17,22,12,19,40,64,69,60,45,46,33,28,22,28,16,41,36,72,57,44,66,42,42,41,21,33,19,53,53,96,100,94,58,63,34,22,25,22,14,26,26,41,51,56,68,59,47,24,20,18,19,24,22,30,23,33,29,28,25,29,51,73,48,137,135,218,84,61,54,37,20,17,22,15,10,12,16,24,15,10,17,13,34,36,29,19,21,47,45,49,46,19,58,57,51,42,16,23,27,53,59,70,22,10,21,25,16,10,12,9,5,7,5,37,17,15,3,10,14,12,4,0,4,8,17,38,10,14,11,11,11,20,109,183,107,41,90,92,36,25,49,26,13,2,0,4,0,4,4,4,9,2,1,3,4,1,1,2,2,7,1,2,0,2,1,3,1,3,1,0,2,6,3,8,1,1,2,9,12,11,16,6,3,10,22,32,21,16,10,4,1,6,5,4,0,1,6,2,1,4,5,3,11,6,4,2,4,1,5,10,3,2,27,7,2,2,3,2,3,2,2,2,3,2,4,0,5,27,4,2,1,1,2,2,0,2,2,7,2,2,1,1,0,7,14,20,8,1,1,2,1,3,1,1,0,1,1,1,0,2,2,0,1,1,1,3,1,2,5,2,5,5,1,5,8,3,1,2,1,4,3,4,0,1,1,1,1,3,0,1,0,3,5,7,4,4,3,3,2,2,0,0,0,0,3,4,1,2,1,1,2,1,1,2,2,2,5,8,0,1,4,6,3,4,1,4,2,5,13,5,4,1,3,3,1,4,2,0,2,0,2,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,2,2,1,2,3,3,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Uthai Thani",8,35,60,12,2,3,7,0,0,0,0,0,0,3,15,1,7,2,5,1,2,0,12,3,22,21,29,12,4,2,6,0,9,12,3,3,13,10,10,24,5,3,6,3,10,14,39,46,52,46,64,36,35,20,48,44,39,32,34,77,107,84,60,21,8,6,7,4,3,4,4,6,4,5,14,11,14,6,3,0,1,4,2,5,14,22,30,33,18,18,33,33,41,36,32,33,22,34,34,29,9,12,2,2,4,4,3,2,4,17,7,5,3,5,4,5,10,12,14,24,47,82,139,90,23,25,51,22,17,5,8,9,23,28,43,25,7,8,6,3,4,2,0,3,5,6,11,4,2,0,1,1,0,1,0,1,1,8,18,11,5,3,3,1,0,4,5,3,7,8,9,9,2,3,10,15,20,13,13,19,9,6,11,7,0,0,0,0,0,1,0,0,2,1,2,3,1,1,1,1,3,0,1,4,3,1,4,3,3,4,1,4,3,4,1,0,4,4,5,5,2,0,1,1,3,0,0,2,1,0,2,1,2,6,4,2,1,0,1,2,0,11,6,5,2,2,1,3,5,8,1,3,4,4,5,2,1,3,1,5,3,3,2,4,4,8,8,6,2,0,4,3,17,45,28,14,3,15,41,11,1,1,2,2,1,0,0,1,0,2,1,0,1,3,1,0,0,1,0,0,1,0,1,2,1,0,0,0,2,0,1,3,3,2,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,3,1,0,1,1,0,0,0,2,1,0,1,3,1,1,0,3,0,1,3,0,3,3,1,2,0,1,0,0,3,1,0,0,2,0,2,1,0,0,2,0,0,0,0,1,1,1,2,1,1,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"Uttaradit",21,38,62,55,18,23,47,19,2,4,5,5,17,16,12,22,11,14,20,33,27,31,39,26,87,80,157,86,47,35,25,23,15,13,12,13,23,25,36,27,11,5,12,7,1,3,11,10,20,42,53,48,38,65,66,63,52,59,43,41,29,31,40,23,26,23,37,26,9,6,7,7,6,11,12,4,1,2,10,5,3,4,0,6,12,17,17,2,12,14,15,27,23,24,27,27,64,71,78,56,61,82,62,33,19,13,12,17,27,9,10,8,5,5,5,12,1,2,0,4,3,5,12,9,9,15,8,5,6,3,21,7,37,44,107,74,31,28,34,57,32,12,19,16,17,15,20,11,2,1,1,2,4,1,2,2,6,9,9,8,4,8,6,3,16,11,3,3,10,75,161,68,89,96,59,44,39,42,9,12,19,16,23,3,7,4,0,4,5,1,2,0,1,2,3,1,3,0,0,1,1,0,0,0,1,1,0,1,3,16,26,22,7,8,12,26,37,31,23,7,5,4,2,3,3,2,4,0,1,1,1,1,5,2,2,2,2,4,2,0,5,4,2,0,1,1,2,8,1,2,3,17,5,2,5,1,2,1,1,0,1,1,0,0,1,2,6,3,5,7,2,1,0,0,1,1,2,2,2,1,0,0,0,1,2,1,3,14,45,47,32,4,0,5,3,3,1,0,0,0,2,2,1,1,1,0,2,3,0,2,1,0,5,12,16,8,3,2,2,2,0,0,0,1,1,2,2,0,0,0,3,0,0,0,1,0,1,4,0,0,0,3,1,6,35,12,3,1,3,25,10,8,1,0,2,2,1,2,1,0,1,2,6,5,3,0,2,2,2,0,1,2,2,1,3,4,1,4,3,1,1,2,1,2,2,1,2,0,0,1,4,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
